latitude,longitude,cityname,ERS1993_JFM_mean,ERS1993_JFM_std,ERS1994_JFM_mean,ERS1994_JFM_std,ERS1995_JFM_mean,ERS1995_JFM_std,ERS1996_JFM_mean,ERS1996_JFM_std,ERS1997_JFM_mean,ERS1997_JFM_std,ERS1998_JFM_mean,ERS1998_JFM_std,ERS1999_JFM_mean,ERS1999_JFM_std,ERS2000_JFM_mean,ERS2000_JFM_std,QSCAT1999_JFM_mean,QSCAT1999_JFM_std,QSCAT2000_JFM_mean,QSCAT2000_JFM_std,QSCAT2001_JFM_mean,QSCAT2001_JFM_std,QSCAT2002_JFM_mean,QSCAT2002_JFM_std,QSCAT2003_JFM_mean,QSCAT2003_JFM_std,QSCAT2004_JFM_mean,QSCAT2004_JFM_std,QSCAT2005_JFM_mean,QSCAT2005_JFM_std,QSCAT2006_JFM_mean,QSCAT2006_JFM_std,QSCAT2007_JFM_mean,QSCAT2007_JFM_std,QSCAT2008_JFM_mean,QSCAT2008_JFM_std,QSCAT2009_JFM_mean,QSCAT2009_JFM_std,ASCAT2007_JFM_mean,ASCAT2007_JFM_std,ASCAT2008_JFM_mean,ASCAT2008_JFM_std,ASCAT2009_JFM_mean,ASCAT2009_JFM_std,ASCAT2010_JFM_mean,ASCAT2010_JFM_std,ASCAT2011_JFM_mean,ASCAT2011_JFM_std,ASCAT2012_JFM_mean,ASCAT2012_JFM_std,ASCAT2013_JFM_mean,ASCAT2013_JFM_std,ASCAT2014_JFM_mean,ASCAT2014_JFM_std,ASCAT2015_JFM_mean,ASCAT2015_JFM_std,ASCAT2016_JFM_mean,ASCAT2016_JFM_std,ASCAT2017_JFM_mean,ASCAT2017_JFM_std,ASCAT2018_JFM_mean,ASCAT2018_JFM_std,ASCAT2019_JFM_mean,ASCAT2019_JFM_std,ASCAT2020_JFM_mean,ASCAT2020_JFM_std,Water
-1.02500,23.27500,DemRepCongo,-7.76700,0.07500,-9999.00000,-9999.00000,-7.65100,0.10100,-7.73900,0.09500,-7.91600,0.08900,-7.64600,0.06600,-7.83700,0.06800,-8.02400,0.57900,-9999.00000,-9999.00000,-8.52100,0.22900,-8.57100,0.29400,-8.48800,0.26200,-8.61300,0.22400,-8.57800,0.24100,-8.59700,0.20900,-8.69000,0.29000,-8.54900,0.26200,-8.63700,0.23300,-8.71600,0.22500,-7.45300,0.10400,-7.52000,0.16000,-7.44300,0.13000,-7.45900,0.13300,-7.49900,0.15400,-7.49400,0.12500,-7.46100,0.14400,-7.44700,0.12800,-7.59100,0.10700,-7.45000,0.14600,-7.55900,0.15700,-7.47800,0.13600,-7.48900,0.15500,-7.42700,0.16800,0
-1.07500,22.77500,DemRepCongo,-7.64800,0.15300,-9999.00000,-9999.00000,-7.52400,0.10700,-7.58900,0.13200,-7.91300,0.09600,-7.58200,0.06600,-7.73400,0.05500,-7.59800,0.17400,-9999.00000,-9999.00000,-8.47700,0.27500,-8.54800,0.18600,-8.47500,0.21000,-8.50200,0.25800,-8.39300,0.23800,-8.39700,0.23500,-8.49900,0.23600,-8.51400,0.27900,-8.46800,0.24400,-8.56500,0.25800,-7.37800,0.18900,-7.45900,0.17500,-7.42900,0.12400,-7.41200,0.15900,-7.44800,0.12100,-7.36800,0.16400,-7.36800,0.17000,-7.37100,0.11100,-7.49700,0.11800,-7.36800,0.14600,-7.46100,0.12300,-7.37800,0.12800,-7.41500,0.19600,-7.35800,0.14700,0
-1.07500,22.82500,DemRepCongo,-7.64000,0.16000,-9999.00000,-9999.00000,-7.52400,0.11300,-7.58400,0.14700,-7.90500,0.09500,-7.57500,0.07500,-7.72900,0.05600,-7.59100,0.18200,-9999.00000,-9999.00000,-8.42900,0.27100,-8.50500,0.16700,-8.49100,0.22100,-8.51600,0.27800,-8.40300,0.25800,-8.39500,0.22600,-8.51100,0.25600,-8.50500,0.28300,-8.45900,0.25300,-8.56600,0.26900,-7.40100,0.16800,-7.45800,0.19500,-7.42100,0.12900,-7.42400,0.15200,-7.44900,0.11300,-7.37100,0.15900,-7.36400,0.18800,-7.41100,0.11900,-7.50500,0.11900,-7.36900,0.13800,-7.45600,0.14800,-7.37700,0.13600,-7.42600,0.19500,-7.36500,0.15900,0
-1.07500,22.87500,DemRepCongo,-7.65200,0.13600,-9999.00000,-9999.00000,-7.53900,0.10100,-7.58300,0.16600,-7.89000,0.09000,-7.57500,0.09700,-7.72300,0.05700,-7.62700,0.13000,-9999.00000,-9999.00000,-8.39600,0.24700,-8.45800,0.19100,-8.50100,0.23200,-8.50700,0.29900,-8.40900,0.29100,-8.39800,0.20800,-8.50300,0.28700,-8.49700,0.27500,-8.42700,0.24800,-8.54900,0.27100,-7.40400,0.15200,-7.44300,0.19500,-7.40700,0.13000,-7.42300,0.16300,-7.43200,0.11400,-7.37700,0.15700,-7.35900,0.19700,-7.42600,0.12000,-7.51100,0.11800,-7.35000,0.13900,-7.43800,0.16400,-7.36400,0.14100,-7.43600,0.18700,-7.36100,0.17600,0
-1.07500,22.92500,DemRepCongo,-7.65900,0.12100,-9999.00000,-9999.00000,-7.54600,0.09300,-7.60000,0.15500,-7.88800,0.08700,-7.58100,0.10200,-7.73100,0.05400,-7.65700,0.10700,-9999.00000,-9999.00000,-8.38200,0.23800,-8.43500,0.23600,-8.47100,0.22900,-8.49000,0.30200,-8.41000,0.31000,-8.39000,0.18300,-8.50400,0.28000,-8.49500,0.25600,-8.39800,0.25200,-8.53000,0.29900,-7.38800,0.14800,-7.41900,0.17300,-7.39800,0.13400,-7.40600,0.17700,-7.40500,0.12800,-7.37800,0.15500,-7.35200,0.19500,-7.42000,0.11300,-7.51100,0.11300,-7.32900,0.15100,-7.41900,0.16700,-7.34800,0.14600,-7.43900,0.17000,-7.35400,0.19000,0
-1.07500,22.97500,DemRepCongo,-7.66900,0.10300,-9999.00000,-9999.00000,-7.55300,0.08400,-7.62000,0.14100,-7.88700,0.08400,-7.58800,0.10800,-7.74000,0.05100,-7.69400,0.07700,-9999.00000,-9999.00000,-8.36700,0.26000,-8.41300,0.26000,-8.44300,0.22100,-8.46800,0.28400,-8.41500,0.32600,-8.37800,0.17200,-8.50200,0.26500,-8.47200,0.24700,-8.36600,0.25300,-8.50700,0.32900,-7.37300,0.15000,-7.40900,0.16400,-7.39000,0.14300,-7.38700,0.18700,-7.38300,0.14200,-7.39100,0.15200,-7.33800,0.19700,-7.39900,0.10600,-7.50700,0.11000,-7.32300,0.16200,-7.41400,0.16700,-7.34000,0.15000,-7.42900,0.15700,-7.34400,0.20200,0
-1.07500,23.02500,DemRepCongo,-7.68700,0.08000,-9999.00000,-9999.00000,-7.56500,0.08100,-7.66200,0.12700,-7.89300,0.08000,-7.60300,0.10300,-7.76600,0.05000,-7.77500,0.16700,-9999.00000,-9999.00000,-8.35600,0.27600,-8.42500,0.26200,-8.40800,0.22000,-8.47700,0.25200,-8.43900,0.34300,-8.37500,0.19200,-8.50600,0.24900,-8.45500,0.26200,-8.36500,0.25100,-8.50300,0.32000,-7.36300,0.15100,-7.40500,0.15300,-7.38600,0.14900,-7.38300,0.17100,-7.37000,0.15200,-7.40300,0.13400,-7.32100,0.19300,-7.37200,0.11400,-7.50100,0.10900,-7.33900,0.17200,-7.42700,0.16800,-7.35100,0.15500,-7.41200,0.14700,-7.33300,0.20500,0
-1.07500,23.07500,DemRepCongo,-7.69700,0.07300,-9999.00000,-9999.00000,-7.57300,0.08000,-7.67900,0.12100,-7.89500,0.07900,-7.61000,0.09800,-7.77800,0.05200,-7.81000,0.21700,-9999.00000,-9999.00000,-8.36200,0.25100,-8.44100,0.25100,-8.38900,0.23400,-8.48900,0.22300,-8.46200,0.33100,-8.39600,0.24200,-8.52600,0.24600,-8.44800,0.28100,-8.40300,0.24400,-8.53800,0.28900,-7.35900,0.14900,-7.41200,0.14900,-7.39100,0.13800,-7.39100,0.14700,-7.38000,0.14800,-7.40500,0.12600,-7.32900,0.19300,-7.36000,0.13100,-7.50100,0.09700,-7.37500,0.16800,-7.44800,0.17300,-7.37200,0.15000,-7.39600,0.13700,-7.32900,0.19100,0
-1.07500,23.12500,DemRepCongo,-7.71500,0.06600,-9999.00000,-9999.00000,-7.58900,0.07900,-7.70600,0.11000,-7.89900,0.07900,-7.62000,0.08400,-7.79900,0.05700,-7.86800,0.31100,-9999.00000,-9999.00000,-8.40200,0.23800,-8.47100,0.25400,-8.39600,0.25800,-8.51200,0.22100,-8.47700,0.31400,-8.43700,0.25500,-8.55300,0.25000,-8.45000,0.27300,-8.46400,0.23000,-8.58300,0.26500,-7.36400,0.14300,-7.42800,0.14900,-7.38700,0.13100,-7.40500,0.13700,-7.41400,0.14600,-7.40500,0.12500,-7.36100,0.19200,-7.36800,0.13100,-7.51100,0.08700,-7.39600,0.15900,-7.47100,0.17400,-7.38600,0.13800,-7.40100,0.12900,-7.33200,0.16900,0
-1.07500,23.17500,DemRepCongo,-7.73500,0.06800,-9999.00000,-9999.00000,-7.61000,0.08000,-7.72300,0.10300,-7.90500,0.08100,-7.62800,0.07600,-7.81600,0.06200,-7.92200,0.39700,-9999.00000,-9999.00000,-8.43600,0.22900,-8.50500,0.26700,-8.41100,0.27500,-8.54300,0.21100,-8.49400,0.30100,-8.49100,0.26100,-8.59900,0.26600,-8.46400,0.25500,-8.53000,0.23500,-8.63800,0.24800,-7.38100,0.13000,-7.45700,0.14100,-7.37900,0.12800,-7.41400,0.13800,-7.44600,0.14900,-7.41500,0.12400,-7.38600,0.18500,-7.38200,0.12000,-7.52800,0.08700,-7.40800,0.15200,-7.49200,0.17400,-7.39900,0.13600,-7.42100,0.13000,-7.34500,0.16700,0
