city_id,City,Longitude,Latitude,Region_10,Region_10_id,validation_region,Region_13,Country
2,Abidjan,-4.04,5.32,Africa,1,None,SubSaharanAfrica,IvoryCoast
3,Abuja,7.53,9.08,Africa,1,None,SubSaharanAfrica,Nigeria
4,Accra,-0.22,5.55,Africa,1,None,SubSaharanAfrica,Ghana
7,AddisAbaba,38.7,9.03,Africa,1,None,SubSaharanAfrica,Ethiopia
12,Alexandria,29.95,31.2,Africa,1,None,MiddleEastNorthAfrica,Egypt
13,Algiers,3.05,36.76,Africa,1,None,MiddleEastNorthAfrica,Algeria
20,Antananarivo,47.52,-18.92,Africa,1,None,SubSaharanAfrica,Madagascar
31,Bamako,-8,12.65,Africa,1,None,SubSaharanAfrica,Mali
34,Banghazi,20.07,32.12,Africa,1,None,MiddleEastNorthAfrica,Libya
47,BeninCity,5.62,6.34,Africa,1,None,SubSaharanAfrica,Nigeria
48,Benoni,28.33,-26.15,Africa,1,None,SubSaharanAfrica,SouthAfrica
58,Brazzaville,15.28,-4.26,Africa,1,None,SubSaharanAfrica,RepCongo
69,Cairo,31.25,30.05,Africa,1,None,MiddleEastNorthAfrica,Egypt
74,CapeTown,18.43,-33.92,Africa,1,None,SubSaharanAfrica,SouthAfrica
76,Casablanca,-7.62,33.6,Africa,1,None,MiddleEastNorthAfrica,Morocco
96,Conakry,-13.68,9.53,Africa,1,None,SubSaharanAfrica,Guinea
100,Dakar,-17.47,14.72,Africa,1,None,SubSaharanAfrica,Senegal
105,DaresSalaam,39.27,-6.8,Africa,1,None,SubSaharanAfrica,Tanzania
116,Douala,9.71,4.06,Africa,1,None,SubSaharanAfrica,Cameroon
120,Durban,30.98,-29.87,Africa,1,None,SubSaharanAfrica,SouthAfrica
124,ElGiza,31.19,30.01,Africa,1,None,MiddleEastNorthAfrica,Egypt
128,Fez,-5,34.05,Africa,1,None,MiddleEastNorthAfrica,Morocco
175,Huambo,15.76,-12.75,Africa,1,None,SubSaharanAfrica,Angola
179,Ibadan,3.93,7.38,Africa,1,None,SubSaharanAfrica,Nigeria
180,Ikare,5.76,7.53,Africa,1,None,SubSaharanAfrica,Nigeria
199,Johannesburg,28.03,-26.17,Africa,1,None,SubSaharanAfrica,SouthAfrica
200,Kaduna,7.44,10.52,Africa,1,None,SubSaharanAfrica,Nigeria
202,Kano,8.52,12,Africa,1,None,SubSaharanAfrica,Nigeria
211,Khartoum,32.53,15.59,Africa,1,None,MiddleEastNorthAfrica,Sudan
213,Kinshasa,15.31,-4.33,Africa,1,None,SubSaharanAfrica,DemRepCongo
223,Lagos,3.39,6.44,Africa,1,None,SubSaharanAfrica,Nigeria
234,Lome,1.22,6.13,Africa,1,None,SubSaharanAfrica,Togo
239,Luanda,13.23,-8.84,Africa,1,None,SubSaharanAfrica,Angola
240,Lubumbashi,27.48,-11.68,Africa,1,None,SubSaharanAfrica,DemRepCongo
245,Lusaka,28.28,-15.42,Africa,1,None,SubSaharanAfrica,Zambia
258,Maputo,32.59,-25.96,Africa,1,None,SubSaharanAfrica,Mozambique
263,MbujiMayi,23.6,-6.15,Africa,1,None,SubSaharanAfrica,DemRepCongo
278,Mogadishu,45.37,2.07,Africa,1,None,SubSaharanAfrica,Somalia
279,Monrovia,-10.8,6.31,Africa,1,None,SubSaharanAfrica,Liberia
291,Nairobi,36.82,-1.28,Africa,1,None,SubSaharanAfrica,Kenya
311,Omdurman,32.48,15.62,Africa,1,None,SubSaharanAfrica,Sudan
316,Ouagadougou,-1.52,12.37,Africa,1,None,SubSaharanAfrica,BurkinaFaso
328,PortElizabeth,25.6,-33.97,Africa,1,None,SubSaharanAfrica,SouthAfrica
329,PortHarcourt,7.01,4.81,Africa,1,None,SubSaharanAfrica,Nigeria
334,Pretoria,28.23,-25.71,Africa,1,None,SubSaharanAfrica,SouthAfrica
427,Tripoli,13.18,32.89,Africa,1,None,MiddleEastNorthAfrica,Libya
428,Tunis,10.18,36.8,Africa,1,None,MiddleEastNorthAfrica,Tunisia
437,Vereeniging,27.96,-26.65,Africa,1,None,SubSaharanAfrica,SouthAfrica
462,Yaounde,11.52,3.87,Africa,1,None,SubSaharanAfrica,Cameroon
17,Ankang,109.02,32.68,China,2,China,China,China
19,Anshan,122.94,41.12,China,2,China,China,China
36,Baoding,115.48,38.87,China,2,China,China,China
37,Baotou,109.82,40.65,China,2,China,China,China
41,Beijing,116.39,39.93,China,2,China,China,China
49,Benxi,123.75,41.33,China,2,China,China,China
77,Changchun,125.34,43.87,China,2,China,China,China
78,Changde,111.68,29.03,China,2,China,China,China
79,Changsha,112.97,28.2,China,2,China,China,China
81,Changzhou,119.97,31.78,China,2,China,China,China
83,Chengdu,104.07,30.67,China,2,China,China,China
86,Chifeng,118.95,42.27,China,2,China,China,China
88,Chongqing,106.59,29.56,China,2,China,China,China
101,Dalian,121.63,38.92,China,2,China,China,China
104,Daqing,125,46.58,China,2,China,China,China
106,Datong,113.3,40.08,China,2,China,China,China
115,Dongguan,113.74,23.05,China,2,China,China,China
136,Fushun,123.87,41.87,China,2,China,China,China
137,Fuzhou,119.3,26.08,China,2,China,China,China
138,Ganzhou,114.95,25.92,China,2,China,China,China
146,Guangzhou,113.33,23.14,China,2,China,China,China
149,Guiyang,106.72,26.58,China,2,China,China,China
153,Haikou,110.32,20.05,China,2,China,China,China
154,Haiphong,106.68,20.83,China,2,China,China,China
156,Handan,114.48,36.58,China,2,China,China,China
157,Hangzhou,120.17,30.25,China,2,China,China,China
160,Harbin,126.65,45.75,China,2,China,China,China
162,Hechi,109.61,23.1,China,2,China,China,China
163,Hefei,117.28,31.85,China,2,China,China,China
165,Hengyang,112.59,26.88,China,2,China,China,China
166,Heze,115.45,35.23,China,2,China,China,China
170,Hohhot,111.66,40.82,China,2,China,China,China
171,HongKong,114.19,22.3,China,2,China,China,China
173,Huainan,116.98,32.63,China,2,China,China,China
174,Huaiyin,119.03,33.58,China,2,China,China,China
176,Huzhou,120.1,30.87,China,2,China,China,China
193,Jiamusi,130.35,46.83,China,2,China,China,China
194,Jilin,126.55,43.85,China,2,China,China,China
195,Jinan,117,36.67,China,2,China,China,China
196,Jinhua,119.65,29.12,China,2,China,China,China
197,Jining,116.55,35.4,China,2,China,China,China
198,Jinxi,120.83,40.75,China,2,China,China,China
205,Kaohsiung,120.27,22.63,China,2,China,China,China
219,Kunming,102.68,25.07,China,2,China,China,China
225,Lanzhou,103.79,36.06,China,2,China,China,China
229,Leshan,103.73,29.57,China,2,China,China,China
231,Linyi,118.33,35.08,China,2,China,China,China
233,Liuzhou,109.25,24.28,China,2,China,China,China
238,Luan,116.48,31.75,China,2,China,China,China
243,Luoyang,112.47,34.68,China,2,China,China,China
244,Lupanshui,104.83,26.59,China,2,China,China,China
246,Luzhou,105.38,28.88,China,2,China,China,China
248,Maanshan,118.48,31.73,China,2,China,China,China
257,Maoming,110.87,21.92,China,2,China,China,China
273,Mianyang,104.77,31.47,China,2,China,China,China
285,Mudangiang,129.59,44.58,China,2,China,China,China
292,Nampo,125.45,38.77,China,2,China,China,China
293,Nanchang,115.88,28.68,China,2,China,China,China
294,Nanchong,106.13,30.78,China,2,China,China,China
295,Nanjing,118.78,32.05,China,2,China,China,China
296,Nanning,108.32,22.82,China,2,China,China,China
297,Nanyang,112.53,33,China,2,China,China,China
305,Ningbo,121.55,29.88,China,2,China,China,China
339,Qingdao,120.33,36.09,China,2,China,China,China
340,Qinhuangdao,119.62,39.93,China,2,China,China,China
341,Qiqihar,123.99,47.34,China,2,China,China,China
342,Quanzhou,118.58,24.9,China,2,China,China,China
381,Shanghai,121.44,31.22,China,2,China,China,China
382,Shangqiu,115.65,34.45,China,2,China,China,China
383,Shangrao,117.97,28.47,China,2,China,China,China
384,Shantou,116.67,23.37,China,2,China,China,China
387,Shenyeng,123.45,41.8,China,2,China,China,China
388,Shenzhen,114.12,22.55,China,2,China,China,China
389,Shijianzhuang,114.48,38.05,China,2,China,China,China
392,Shuyang,118.77,34.13,China,2,China,China,China
400,Suining,105.53,30.53,China,2,China,China,China
405,Suzhou,120.58,31.31,China,2,China,China,China
408,Taian,117.12,36.2,China,2,China,China,China
409,Taichung,120.68,24.15,China,2,China,China,China
410,Tainan,120.2,23,China,2,China,China,China
412,Taiyuan,112.55,37.88,China,2,China,China,China
414,Tangshan,118.19,39.62,China,2,China,China,China
420,Tianjin,117.2,39.13,China,2,China,China,China
421,Tianshui,105.92,34.6,China,2,China,China,China
433,Urumqi,87.58,43.81,China,2,China,China,China
443,Wanzhou,108.4,30.82,China,2,China,China,China
447,Weifang,119.1,36.72,China,2,China,China,China
448,Wenzhou,120.65,28.02,China,2,China,China,China
450,Wuhan,114.27,30.58,China,2,China,China,China
